start|end|text
0.0|3.4|그럼 약이야기에서 이번엔 법률 이야기로 한번 넘어가 볼까요?
3.7|4.2|네, 좋습니다.
4.5|6.0|이번엔 꽉변호사입니다.
6.2|8.5|이분도 보니까 오리변호사 캐릭터를 내세워서
8.5|12.1|참새 캐릭터가 던지는 엉뚱한 질문에 답하는 형식이라고 하네요.
12.5|13.1|아, 네.
13.4|16.6|앞서 이야기한 동공이 약사한테서 영감을 좀 받았다고 하고요.
16.7|20.1|네, 그 꽉변호사 법률상담 애니메이션이라는 채널인데요.
20.7|23.0|이게 2025년 4월 말쯤 시작했는데
23.0|25.3|두 달 만에 구독자가 4만 명,
25.3|30.0|누적 조회수는 380만 회를 넘길 정도로 엄청 빠르게 성장했어요.
30.1|32.8|와, 두 달 만에요? 대단하네요.
33.3|34.8|네, 실제 변호사인데
34.8|40.1|그냥 모 법무법인의 김변호사 정도로만 알려지길 원한다고 하고요.
40.2|41.8|이 채널의 가장 큰 매력은
41.8|44.8|뭐니뭐니 해도 법률이라는 주제 있잖아요.
45.4|48.6|어떻게 보는 가장 딱딱하고 어렵게 느껴질 수 있는데
48.6|49.7|네, 그렇죠.
49.9|52.7|이걸 만담 형식으로 풀어낸다는 점입니다.
53.2|53.9|만담 형식이요?
53.9|56.9|법률 만담이라니 상상이 잘 안 가는데요.
57.5|58.8|예를 들어서 어떤 식인가요?
59.2|60.6|아, 이게 아주 기발합니다.
61.2|64.1|예를 들어서 인주 대신 쌈장 써도 되나요?
64.5|65.5|이런 질문이 있어요.
66.3|68.4|조회수가 17만 정도 나왔다는데
68.5|69.4|쌈장이요?
71.0|75.1|네, 이런 황당해 보이는 질문을 아주 진지하게 다뤄요.
75.9|79.1|법적으로 뭐 인주 종류가 정해져 있는 건 아니지만
79.1|84.3|만약 나중에 인감의 진짜 여부를 놓고 법적 다툼이 생기면
84.4|88.9|쌈장 같은 이런 특이한 재료는 진입, 판독이 좀 어려워서
88.9|91.4|본인한테 불리하게 작용할 수도 있다.
91.9|94.2|이런 실질적인 조언을 덧붙이는 거죠.
94.4|95.4|아, 그렇군요.
95.5|98.1|근데 여기에 또 시청자들이 댓글을 달아요.
98.7|100.8|쌈장 대신 고추장을 추천한다.
101.4|103.6|밥도 비벼 먹을 수 있고 잘 지워진다.
103.8|105.6|뭐 이런 재치 있는 댓글이 달리면서
105.6|108.5|서로 막 소통하는 재미까지 더해지는 거죠.
108.5|113.5|와, 쌈장으로 도장을 찍어도 법적으로 당장 문제되는 건 아니지만
113.5|117.2|나중에 불리할 수 있다니 생각도 못했네요.
117.6|120.7|진짜 황당한 질문인데 진지하게 답해 주네요.
121.0|121.4|그렇죠.
121.9|126.0|또 다른 예로는 흡혈규가 허락받고 피를 빨면 상해죄인가?
126.5|128.4|이런 아주 극단적인 질문도 있어요.
128.6|129.2|흡혈귀요?
129.4|134.3|네, 여기에 대해서는 피를 빨린 결과로 일상생활에 지장이 생기거나
134.3|137.5|빈혈 증상이 나타날 정도면 상해죄가 될 수 있다.
137.5|141.6|이렇게 답하면서 만약 현실에 흡혈귀가 나타나면
141.6|145.8|아마 흡혈귀 특별법 같은 게 생기지 않겠냐는 농담까지 곁들입니다.
147.6|148.9|하하, 특별법까지.
149.5|152.5|이때부터 이런 뭐랄까 술자리 농담 같은 이야기를
152.5|156.7|진지하게 법률적으로 검토하는 컨셉트를 구상했다고 하니까
157.3|159.6|꽤 오랫동안 준비된 기획인쌤이에요.
160.2|164.9|와, 쌈장인주나 흡혈귀상해죄 같은 그런 극단적인 질문이 오히려
164.9|168.2|법의 원리를 더 명확하게 보여주는 효과가 있다 이런 말씀이시군요.
168.6|169.0|네, 맞습니다.
169.8|172.2|근데 이런 식으로 너무 가볍게만 다루다 보면
172.2|176.5|혹시 법의 어떤 엄중함이나 진지함 같은 게 좀 퇴색될 우려는 없을까요?
177.4|179.9|자칫 좀 장난처럼 느껴질 수도 있을 것 같은데요.
180.2|182.6|충분히 제기될 수 있는 우려라고 생각합니다.
183.3|186.3|근데 꽉 변호사 본인도 이 점을 좀 알고 있는 것 같아요.
186.8|187.2|아, 그런가요?
187.4|188.7|네, 자료를 보면요.
188.9|193.4|이 변호사는 고격유치를 위해서 사회적으로 좀 민감하거나
193.4|196.6|논란이 될 만한 이슈는 의도적으로 피한다고 해요.
197.5|201.0|시청자들한테 피로감을 줄 수 있는 그런 무거운 주제보다는
201.0|204.7|법리 자체를 그냥 재미있게 이해시키는 데에 집중하는 거죠.
205.5|209.5|그러면서도 각 영상은 변호사로서의 어떤 공식적인 의견서나
209.5|213.7|칼럼처럼 전문성을 담아서 만들려고 노력한다 이렇게 말하고요.
214.4|217.7|또 남을 비난하거나 기분 나쁘게 하지 않으면서 재밌다
217.7|220.4|이런 평가를 받을 때 가장 뿌듯하다고 하는 걸 보면
220.4|224.6|재미와 전문성 그리고 어떤 긍정적인 소통 사이에서
224.6|227.8|굉장히 신중하게 균형을 잡으려고 노력하는 모습이 보입니다.
228.1|231.7|그렇군요. 재미를 추구하면서도 선을 넘지 않으려는 노력이 엿보이네요.
232.1|233.7|콘텐츠 철학도 좀 확고한 것 같고요.
233.9|234.1|네.
234.3|236.8|법률분야의 또 다른 사례로 별리사도 있다고 들었습니다.
